City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,
Athens,,,-,3,35,0,38
Brattleboro,-,"Windham 2-1",-,8,190,0,198
Brattleboro,-,"Windham 2-2",-,13,99,0,112
Brattleboro,-,"Windham 2-3",-,8,132,0,140
Brookline,,,-,2,50,0,52
Dover,,,-,12,174,0,186
Dummerston,,,-,0,187,1,188
Grafton,,,-,0,84,0,84
Guilford,,,-,8,140,2,150
Halifax,,,-,2,184,0,186
Jamaica,,,-,11,95,0,106
Marlboro,,,-,1,53,0,54
Newfane,,,-,7,213,0,220
Putney,,,-,4,117,1,122
Rockingham,,,-,12,255,1,268
Stratton,,,-,0,48,0,48
Townshend,,,-,6,103,1,110
Vernon,,,-,44,548,0,592
Wardsboro,,,-,3,85,0,88
Westminster,-,"Windham 3",-,0,14,0,14
Westminster,-,"Windham 4",-,8,194,2,204
Whitingham,-,"Windham 6",-,5,107,0,112
Whitingham,-,Windham-Bennington,-,0,8,0,8
Windham,,,-,0,30,0,30
TOTALS,,,-,157,"3,145",8,"3,310"
