City/Town,Ward,Pct,"Beth Pearce","Richard M. Dunne",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Addison,,,51,39,0,17,0,107
Albany,,,51,23,0,17,0,91
Alburgh,,,74,64,0,30,0,168
Andover,,,37,29,0,12,0,78
Arlington,,,117,70,0,26,0,213
Athens,,,12,16,0,6,0,34
Bakersfield,,,58,49,0,19,1,127
Baltimore,,,14,9,0,3,0,26
Barnard,,,71,46,1,32,0,150
Barnet,,,103,49,0,27,0,179
"Barre City",,,496,84,1,49,0,630
"Barre Town",,,453,109,1,32,0,595
Barton,,,81,48,0,17,0,146
Belvidere,,,15,4,0,2,0,21
Bennington,-,"Bennington 2-1",355,244,2,164,0,765
Bennington,-,"Bennington 2-2",288,156,0,69,0,513
Benson,,,32,23,1,10,0,66
Berkshire,,,47,27,0,7,0,81
Berlin,,,189,56,0,38,0,283
Bethel,,,156,68,0,32,0,256
Bloomfield,,,5,17,0,3,0,25
Bolton,,,84,53,0,27,0,164
Bradford,,,135,65,0,37,0,237
Braintree,,,88,18,0,13,0,119
Brandon,,,239,90,1,44,0,374
Brattleboro,-,"Windham 2-1",258,179,2,125,0,564
Brattleboro,-,"Windham 2-2",277,175,1,116,0,569
Brattleboro,-,"Windham 2-3",325,187,0,136,0,648
Bridgewater,,,58,43,0,15,0,116
Bridport,,,51,51,0,19,0,121
Brighton,,,31,19,0,14,0,64
Bristol,,,281,129,0,75,0,485
Brookfield,,,130,35,0,19,0,184
Brookline,,,44,24,0,12,0,80
Brownington,,,38,12,0,5,0,55
Brunswick,,,5,6,0,0,0,11
Burke,,,61,25,0,18,0,104
Burlington,-,"Chittenden 6-1",705,496,1,161,2,"1,365"
Burlington,-,"Chittenden 6-2",465,251,1,134,0,851
Burlington,-,"Chittenden 6-3",508,331,2,210,0,"1,051"
Burlington,-,"Chittenden 6-4",367,247,4,165,0,783
Burlington,-,"Chittenden 6-5",955,533,0,328,0,"1,816"
Burlington,-,"Chittenden 6-6",154,72,0,47,0,273
Burlington,-,"Chittenden 6-7",19,10,0,11,0,40
Cabot,,,126,38,1,32,0,197
Calais,,,242,82,0,71,0,395
Cambridge,,,169,106,1,56,0,332
Canaan,,,20,10,0,6,0,36
Castleton,,,145,76,0,34,1,256
Cavendish,,,75,51,0,13,1,140
Charleston,,,48,20,0,9,0,77
Charlotte,,,415,202,1,123,1,742
Chelsea,,,77,22,1,20,0,120
Chester,,,233,163,1,71,0,468
Chittenden,,,85,33,0,19,0,137
Clarendon,,,102,28,0,15,0,145
Colchester,-,"Chittenden 9-1",302,172,0,49,1,524
Colchester,-,"Chittenden 9-2",419,290,0,103,1,813
Concord,,,45,26,0,7,0,78
Corinth,,,96,47,1,26,0,170
Cornwall,,,137,54,0,51,0,242
Coventry,,,39,16,0,5,0,60
Craftsbury,,,96,40,0,33,0,169
Danby,,,73,38,0,12,0,123
Danville,,,161,74,0,34,0,269
Derby,,,176,100,0,40,0,316
Dorset,,,118,109,0,53,0,280
Dover,,,58,37,0,22,0,117
Dummerston,,,184,115,2,84,0,385
Duxbury,,,121,45,0,50,0,216
"E. Haven",,,10,15,0,3,0,28
"E. Montpelier",,,428,103,0,93,0,624
Eden,,,47,26,0,10,0,83
Elmore,,,99,63,0,28,0,190
Enosburgh,,,73,69,0,28,0,170
Essex,-,"Chittenden 8-1",443,268,1,105,0,817
