City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Arlington,,,0,0,1,0,1
Bakersfield,,,1,3,1,0,5
"Barre City",,,1,0,2,0,3
"Barre Town",,,3,1,2,0,6
Barton,,,0,0,1,0,1
Belvidere,,,0,0,1,0,1
Bennington,-,"Bennington 2-1",1,1,7,0,9
Bennington,-,"Bennington 2-2",1,2,3,0,6
Benson,,,0,0,1,0,1
Berlin,,,0,3,3,0,6
Bethel,,,0,2,4,0,6
Bolton,,,0,0,1,0,1
Bradford,,,0,0,1,0,1
Braintree,,,1,0,1,0,2
Brandon,,,0,0,1,0,1
Brattleboro,-,"Windham 2-1",0,0,0,1
Brattleboro,-,"Windham 2-2",2,1,0,3
Brattleboro,-,"Windham 2-3",6,5,0,11
Bridgewater,,,1,0,0,0,1
Bridport,,,0,0,3,0,3
Bristol,,,0,0,1,0,1
Brookfield,,,0,0,2,0,2
Burke,,,0,0,0,1,1
Burlington,-,"Chittenden 6-1",2,1,0,3
Burlington,-,"Chittenden 6-2",10,3,0,13
Burlington,-,"Chittenden 6-3",3,11,4,0,18
Burlington,-,"Chittenden 6-4",6,2,0,8
Burlington,-,"Chittenden 6-5",2,4,5,0,11
Burlington,-,"Chittenden 6-6",2,0,0,2
Burlington,-,"Chittenden 6-7",0,0,0,0
Cabot,,,0,0,2,0,2
Calais,,,3,1,0,0,4
Cambridge,,,0,2,2,0,4
Canaan,,,0,0,1,0,1
Castleton,,,0,0,5,0,5
Cavendish,,,0,0,1,0,1
Charleston,,,0,3,1,0,4
Charlotte,,,0,0,4,0,4
Chester,,,0,0,2,0,2
Clarendon,,,0,1,2,0,3
Colchester,-,"Chittenden 9-1",1,2,1,5
Colchester,-,"Chittenden 9-2",1,2,0,3
Corinth,,,1,0,1,0,2
Coventry,,,1,0,1,0,2
Craftsbury,,,0,1,0,0,1
Danby,,,1,0,1,0,2
Derby,,,0,1,1,0,2
Dorset,,,0,0,5,0,5
Dover,,,0,1,0,0,1
