City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,
Addison,,,3,10,184,0,197
Albany,,,3,3,100,0,106
Alburgh,,,10,13,115,0,138
Andover,,,0,2,64,1,67
Arlington,,,1,5,138,0,144
Athens,,,0,0,19,0,19
Bakersfield,,,21,6,60,0,87
Baltimore,,,0,2,16,1,19
Barnard,,,2,1,65,0,68
Barnet,,,3,3,174,0,180
"Barre City",,,45,25,645,0,715
"Barre Town",,,140,61,"1,028",0,"1,229"
Barton,,,19,10,159,0,188
Belvidere,,,1,0,33,0,34
Bennington,-,"Bennington 2-1",6,14,201,0,221
Bennington,-,"Bennington 2-2",2,4,202,0,208
Benson,,,1,2,77,1,81
Berkshire,,,9,2,99,0,110
Berlin,,,25,3,369,0,397
Bethel,,,5,5,140,0,150
Bloomfield,,,0,0,13,1,14
Bolton,,,2,0,118,0,120
Bradford,,,8,6,136,0,150
Braintree,,,6,3,109,0,118
Brandon,,,8,9,319,0,336
Brattleboro,-,"Windham 2-1",7,92,0,99
Brattleboro,-,"Windham 2-2",3,3,50,0,56
Brattleboro,-,"Windham 2-3",5,1,64,0,70
Bridgewater,,,3,8,53,0,64
Bridport,,,1,9,125,0,135
Brighton,,,0,9,113,0,122
Bristol,,,8,9,268,0,285
Brookfield,,,6,7,142,0,155
Brookline,,,1,0,25,0,26
Brownington,,,5,2,48,1,56
Brunswick,,,2,2,13,0,17
Burke,,,4,0,135,1,140
Burlington,-,"Chittenden 6-1",8,21,534,0,563
Burlington,-,"Chittenden 6-2",3,10,178,0,191
Burlington,-,"Chittenden 6-3",4,90,0,94
Burlington,-,"Chittenden 6-4",2,4,71,0,77
Burlington,-,"Chittenden 6-5",1,6,328,0,335
Burlington,-,"Chittenden 6-6",4,42,0,46
Burlington,-,"Chittenden 6-7",0,3,0,3
Cabot,,,3,3,131,0,137
Calais,,,15,1,138,0,154
Cambridge,,,0,25,279,0,304
Canaan,,,2,3,60,0,65
Castleton,,,5,6,369,0,380
Cavendish,,,2,2,103,0,107
Charleston,,,4,8,75,1,88
Charlotte,,,5,7,364,3,379
Chelsea,,,12,8,129,3,152
Chester,,,4,9,169,0,182
Chittenden,,,0,4,147,2,153
Clarendon,,,0,13,244,0,257
Colchester,-,"Chittenden 9-1",11,8,438,3,460
Colchester,-,"Chittenden 9-2",10,17,703,5,735
Concord,,,1,7,129,0,137
Corinth,,,6,4,87,1,98
Cornwall,,,5,1,106,0,112
Coventry,,,7,2,104,0,113
Craftsbury,,,3,4,92,2,101
Danby,,,9,4,128,0,141
Danville,,,9,2,248,1,260
Derby,,,16,10,369,0,395
Dorset,,,0,2,190,0,192
Dover,,,0,2,91,0,93
Dummerston,,,0,0,93,1,94
Duxbury,,,12,7,133,0,152
"E. Haven",,,7,0,29,0,36
"E. Montpelier",,,13,7,247,0,267
Eden,,,4,8,94,0,106
Elmore,,,1,1,83,0,85
Enosburgh,,,4,7,163,0,174
Essex,-,"Chittenden 8-1",11,24,600,0,635
Essex,-,"Chittenden 8-2",16,15,698,0,729
Essex,-,"Chittenden 8-3",3,10,193,0,206
"Fair Haven",,,3,17,210,0,230
Fairfax,,,3,3,452,1,459
Fairfield,,,10,5,147,0,162
Fairlee,,,1,0,66,0,67
Fayston,,,1,4,122,0,127
Ferrisburgh,,,1,8,293,0,302
Fletcher,,,2,2,112,0,116
Franklin,,,8,9,112,0,129
Georgia,,,5,6,453,11,475
Glover,,,8,8,90,2,108
Goshen,,,2,2,22,0,26
Grafton,,,0,0,42,0,42
Granby,,,0,2,17,0,19
"Grand Isle",,,17,14,174,0,205
Granville,,,0,2,23,0,25
Greensboro,,,2,4,43,0,49
Groton,,,6,2,114,0,122
Guildhall,,,0,0,36,0,36
Guilford,,,4,0,71,0,75
Halifax,,,1,3,89,0,93
Hancock,,,0,2,19,1,22
Hardwick,,,2,3,237,0,242
Hartford,-,"Windsor 4-1",6,3,103,4,116
Hartford,-,"Windsor 4-2",4,8,279,5,296
Hartland,,,3,4,184,0,191
Highgate,,,29,26,217,1,273
Hinesburg,-,"Chittenden 4-1",0,3,0,3
Hinesburg,-,"Chittenden 4-2",4,285,1,294
Holland,,,3,3,69,0,75
Hubbardton,,,0,2,66,0,68
Huntington,,,4,1,107,0,112
"Hyde Park",,,15,14,331,0,360
Ira,,,3,4,43,0,50
Irasburg,,,22,11,85,0,118
"Isle La Motte",,,2,0,49,0,51
Jamaica,,,2,4,47,0,53
Jay,,,3,3,31,0,37
Jericho,,,7,8,463,0,478
Johnson,,,1,2,169,3,175
Killington,,,0,4,105,0,109
Kirby,,,4,1,82,0,87
Landgrove,,,0,0,18,0,18
Leicester,,,0,3,80,1,84
Lemington,,,0,0,7,0,7
Lincoln,,,2,3,108,1,114
Londonderry,,,1,5,91,0,97
Lowell,,,9,7,93,0,109
Ludlow,,,4,8,152,0,164
Lunenburg,,,0,11,77,0,88
