"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","","Republican","Randy Brock",476
"Orleans","Albany","Albany","Auditor General","","Republican","Randy Brock",251
"Grand Isle","Alburgh","Alburgh","Auditor General","","Republican","Randy Brock",536
"Windsor","Andover","Andover","Auditor General","","Republican","Randy Brock",156
"Bennington","Arlington","Arlington","Auditor General","","Republican","Randy Brock",642
"Windham","Athens","Athens","Auditor General","","Republican","Randy Brock",56
"Franklin","Bakersfield","Bakersfield","Auditor General","","Republican","Randy Brock",339
"Windsor","Baltimore","Baltimore","Auditor General","","Republican","Randy Brock",78
"Windsor","Barnard","Barnard","Auditor General","","Republican","Randy Brock",293
"Caledonia","Barnet","Barnet","Auditor General","","Republican","Randy Brock",482
"Washington","Barre City","Washington 3-1","Auditor General","","Republican","Randy Brock",1176
"Washington","Barre City","Washington 3-2","Auditor General","","Republican","Randy Brock",863
"Washington","Barre City","Washington 3-3","Auditor General","","Republican","Randy Brock",151
"Washington","Barre Town","Barre Town","Auditor General","","Republican","Randy Brock",2736
"Orleans","Barton","Barton","Auditor General","","Republican","Randy Brock",691
"Lamoille","Belvidere","Belvidere","Auditor General","","Republican","Randy Brock",84
"Bennington","Bennington","Bennington 2-1","Auditor General","","Republican","Randy Brock",959
"Bennington","Bennington","Bennington 2-1 Nb","Auditor General","","Republican","Randy Brock",141
"Bennington","Bennington","Bennington 2-2","Auditor General","","Republican","Randy Brock",1193
"Bennington","Bennington","Bennington 5","Auditor General","","Republican","Randy Brock",33
"Rutland","Benson","Benson","Auditor General","","Republican","Randy Brock",280
"Franklin","Berkshire","Berkshire","Auditor General","","Republican","Randy Brock",362
"Washington","Berlin","Berlin","Auditor General","","Republican","Randy Brock",768
"Windsor","Bethel","Bethel","Auditor General","","Republican","Randy Brock",492
"Essex","Bloomfield","Bloomfield","Auditor General","","Republican","Randy Brock",48
"Chittenden","Bolton","Bolton","Auditor General","","Republican","Randy Brock",301
"Orange","Bradford","Bradford","Auditor General","","Republican","Randy Brock",676
"Orange","Braintree","Braintree","Auditor General","","Republican","Randy Brock",332
"Rutland","Brandon","Brandon","Auditor General","","Republican","Randy Brock",1074
"Windham","Brattleboro","Windham 3-1","Auditor General","","Republican","Randy Brock",765
"Windham","Brattleboro","Windham 3-2","Auditor General","","Republican","Randy Brock",396
"Windham","Brattleboro","Windham 3-3","Auditor General","","Republican","Randy Brock",398
"Windsor","Bridgewater","Bridgewater","Auditor General","","Republican","Randy Brock",275
"Addison","Bridport","Bridport","Auditor General","","Republican","Randy Brock",456
"Essex","Brighton","Brighton","Auditor General","","Republican","Randy Brock",333
"Addison","Bristol","Bristol","Auditor General","","Republican","Randy Brock",959
"Orange","Brookfield","Brookfield","Auditor General","","Republican","Randy Brock",404
"Windham","Brookline","Brookline","Auditor General","","Republican","Randy Brock",115
"Orleans","Brownington","Brownington","Auditor General","","Republican","Randy Brock",214
"Essex","Brunswick","Brunswick","Auditor General","","Republican","Randy Brock",24
"Caledonia","Burke","Burke","Auditor General","","Republican","Randy Brock",430
"Chittenden","Burlington","Chittenden 3-1","Auditor General","","Republican","Randy Brock",1909
"Chittenden","Burlington","Chittenden 3-2","Auditor General","","Republican","Randy Brock",959
"Chittenden","Burlington","Chittenden 3-3","Auditor General","","Republican","Randy Brock",891
"Chittenden","Burlington","Chittenden 3-4","Auditor General","","Republican","Randy Brock",785
"Chittenden","Burlington","Chittenden 3-5","Auditor General","","Republican","Randy Brock",1817
