"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"130266","2004","Auditor","Primary","","Addison","","Elizabeth M. Ready","Democratic","80"
"130267","2004","Auditor","Primary","","Albany","","Elizabeth M. Ready","Democratic","36"
"130268","2004","Auditor","Primary","","Alburgh","","Elizabeth M. Ready","Democratic","33"
"130269","2004","Auditor","Primary","","Andover","","Elizabeth M. Ready","Democratic","29"
"130270","2004","Auditor","Primary","","Arlington","","Elizabeth M. Ready","Democratic","81"
"130271","2004","Auditor","Primary","","Athens","","Elizabeth M. Ready","Democratic","12"
"130272","2004","Auditor","Primary","","Bakersfield","","Elizabeth M. Ready","Democratic","39"
"130273","2004","Auditor","Primary","","Baltimore","","Elizabeth M. Ready","Democratic","12"
"130274","2004","Auditor","Primary","","Barnard","","Elizabeth M. Ready","Democratic","51"
"130275","2004","Auditor","Primary","","Barnet","","Elizabeth M. Ready","Democratic","41"
"130276","2004","Auditor","Primary","","Barre City","Washington 3-1","Elizabeth M. Ready","Democratic","115"
"130277","2004","Auditor","Primary","","Barre City","Washington 3-2","Elizabeth M. Ready","Democratic","75"
"130278","2004","Auditor","Primary","","Barre City","Washington 3-3","Elizabeth M. Ready","Democratic","18"
"130279","2004","Auditor","Primary","","Barre Town","","Elizabeth M. Ready","Democratic","287"
"130280","2004","Auditor","Primary","","Barton","Barton Memorial","Elizabeth M. Ready","Democratic","67"
"130281","2004","Auditor","Primary","","Barton","Orleans Memorial","Elizabeth M. Ready","Democratic","29"
"130282","2004","Auditor","Primary","","Belvidere","","Elizabeth M. Ready","Democratic","6"
"130283","2004","Auditor","Primary","","Bennington","Bennington 2-1","Elizabeth M. Ready","Democratic","104"
"130284","2004","Auditor","Primary","","Bennington","Bennington 2-1 Nb","Elizabeth M. Ready","Democratic","55"
"130285","2004","Auditor","Primary","","Bennington","Bennington 2-2","Elizabeth M. Ready","Democratic","122"
"130286","2004","Auditor","Primary","","Bennington","Bennington 5","Elizabeth M. Ready","Democratic","5"
"130287","2004","Auditor","Primary","","Benson","","Elizabeth M. Ready","Democratic","33"
"130288","2004","Auditor","Primary","","Berkshire","","Elizabeth M. Ready","Democratic","31"
"130289","2004","Auditor","Primary","","Berlin","","Elizabeth M. Ready","Democratic","69"
"130290","2004","Auditor","Primary","","Bethel","","Elizabeth M. Ready","Democratic","124"
"130291","2004","Auditor","Primary","","Bloomfield","","Elizabeth M. Ready","Democratic","9"
"130292","2004","Auditor","Primary","","Bolton","","Elizabeth M. Ready","Democratic","45"
"130293","2004","Auditor","Primary","","Bradford","","Elizabeth M. Ready","Democratic","280"
"130294","2004","Auditor","Primary","","Braintree","","Elizabeth M. Ready","Democratic","38"
"130295","2004","Auditor","Primary","","Brandon","","Elizabeth M. Ready","Democratic","47"
"130296","2004","Auditor","Primary","","Brattleboro","Windham 3-1","Elizabeth M. Ready","Democratic","265"
"130297","2004","Auditor","Primary","","Brattleboro","Windham 3-2","Elizabeth M. Ready","Democratic","247"
"130298","2004","Auditor","Primary","","Brattleboro","Windham 3-3","Elizabeth M. Ready","Democratic","292"
"130299","2004","Auditor","Primary","","Bridgewater","","Elizabeth M. Ready","Democratic","44"
"130300","2004","Auditor","Primary","","Bridport","","Elizabeth M. Ready","Democratic","88"
"130301","2004","Auditor","Primary","","Brighton","","Elizabeth M. Ready","Democratic","37"
"130302","2004","Auditor","Primary","","Bristol","","Elizabeth M. Ready","Democratic","180"
"130303","2004","Auditor","Primary","","Brookfield","","Elizabeth M. Ready","Democratic","85"
"130304","2004","Auditor","Primary","","Brookline","","Elizabeth M. Ready","Democratic","23"
"130305","2004","Auditor","Primary","","Brownington","","Elizabeth M. Ready","Democratic","29"
"130306","2004","Auditor","Primary","","Brunswick","","Elizabeth M. Ready","Democratic","6"
"130307","2004","Auditor","Primary","","Burke","","Elizabeth M. Ready","Democratic","27"
"130308","2004","Auditor","Primary","","Burlington","Chittenden 3-1","Elizabeth M. Ready","Democratic","422"
"130309","2004","Auditor","Primary","","Burlington","Chittenden 3-2","Elizabeth M. Ready","Democratic","192"
"130310","2004","Auditor","Primary","","Burlington","Chittenden 3-3","Elizabeth M. Ready","Democratic","244"
"130311","2004","Auditor","Primary","","Burlington","Chittenden 3-4","Elizabeth M. Ready","Democratic","196"
"130312","2004","Auditor","Primary","","Burlington","Chittenden 3-5","Elizabeth M. Ready","Democratic","532"
"130313","2004","Auditor","Primary","","Burlington","Chittenden 3-6","Elizabeth M. Ready","Democratic","75"
"130314","2004","Auditor","Primary","","Cabot","","Elizabeth M. Ready","Democratic","68"
"130315","2004","Auditor","Primary","","Calais","","Elizabeth M. Ready","Democratic","250"
"130316","2004","Auditor","Primary","","Cambridge","","Elizabeth M. Ready","Democratic","72"
"130317","2004","Auditor","Primary","","Canaan","","Elizabeth M. Ready","Democratic","21"
"130318","2004","Auditor","Primary","","Castleton","","Elizabeth M. Ready","Democratic","53"
"130319","2004","Auditor","Primary","","Cavendish","","Elizabeth M. Ready","Democratic","60"
"130320","2004","Auditor","Primary","","Charleston","","Elizabeth M. Ready","Democratic","13"
"130321","2004","Auditor","Primary","","Charlotte","","Elizabeth M. Ready","Democratic","373"
"130322","2004","Auditor","Primary","","Chelsea","","Elizabeth M. Ready","Democratic","39"
"130323","2004","Auditor","Primary","","Chester","","Elizabeth M. Ready","Democratic","133"
"130324","2004","Auditor","Primary","","Chittenden","","Elizabeth M. Ready","Democratic","33"
"130325","2004","Auditor","Primary","","Clarendon","","Elizabeth M. Ready","Democratic","104"
"130326","2004","Auditor","Primary","","Colchester","Chittenden 7-1","Elizabeth M. Ready","Democratic","114"
"130327","2004","Auditor","Primary","","Colchester","Chittenden 7-2","Elizabeth M. Ready","Democratic","120"
"130328","2004","Auditor","Primary","","Concord","","Elizabeth M. Ready","Democratic","21"
"130329","2004","Auditor","Primary","","Corinth","","Elizabeth M. Ready","Democratic","76"
"130330","2004","Auditor","Primary","","Cornwall","","Elizabeth M. Ready","Democratic","116"
"130331","2004","Auditor","Primary","","Coventry","","Elizabeth M. Ready","Democratic","21"
"130332","2004","Auditor","Primary","","Craftsbury","","Elizabeth M. Ready","Democratic","67"
"130333","2004","Auditor","Primary","","Danby","","Elizabeth M. Ready","Democratic","81"
"130334","2004","Auditor","Primary","","Danville","","Elizabeth M. Ready","Democratic","68"
"130335","2004","Auditor","Primary","","Derby","","Elizabeth M. Ready","Democratic","88"
"130336","2004","Auditor","Primary","","Dorset","","Elizabeth M. Ready","Democratic","59"
"130337","2004","Auditor","Primary","","Dover","","Elizabeth M. Ready","Democratic","34"
"130338","2004","Auditor","Primary","","Dummerston","","Elizabeth M. Ready","Democratic","119"
"130339","2004","Auditor","Primary","","Duxbury","","Elizabeth M. Ready","Democratic","62"
"130340","2004","Auditor","Primary","","E. Haven","","Elizabeth M. Ready","Democratic","3"
"130341","2004","Auditor","Primary","","E. Montpelier","","Elizabeth M. Ready","Democratic","112"
"130342","2004","Auditor","Primary","","Eden","","Elizabeth M. Ready","Democratic","22"
"130343","2004","Auditor","Primary","","Elmore","","Elizabeth M. Ready","Democratic","40"
"130344","2004","Auditor","Primary","","Enosburgh","","Elizabeth M. Ready","Democratic","78"
"130345","2004","Auditor","Primary","","Essex","Chittenden 6-1","Elizabeth M. Ready","Democratic","176"
"130346","2004","Auditor","Primary","","Essex","Chittenden 6-2","Elizabeth M. Ready","Democratic","225"
"130347","2004","Auditor","Primary","","Essex","Chittenden 6-3","Elizabeth M. Ready","Democratic","76"
"130348","2004","Auditor","Primary","","Fair Haven","","Elizabeth M. Ready","Democratic","49"
"130349","2004","Auditor","Primary","","Fairfax","","Elizabeth M. Ready","Democratic","90"
"130350","2004","Auditor","Primary","","Fairfield","","Elizabeth M. Ready","Democratic","64"
"130351","2004","Auditor","Primary","","Fairlee","","Elizabeth M. Ready","Democratic","78"
"130352","2004","Auditor","Primary","","Fayston","","Elizabeth M. Ready","Democratic","39"
