"county","town","precinct","office","district","party","candidate","votes"
"Addison","Addison","Addison","Auditor General","","Republican","Randy Brock",424
"Orleans","Albany","Albany","Auditor General","","Republican","Randy Brock",205
"Grand Isle","Alburgh","Alburgh","Auditor General","","Republican","Randy Brock",419
"Windsor","Andover","Andover","Auditor General","","Republican","Randy Brock",109
"Bennington","Arlington","Arlington","Auditor General","","Republican","Randy Brock",364
"Windham","Athens","Athens","Auditor General","","Republican","Randy Brock",33
"Franklin","Bakersfield","Bakersfield","Auditor General","","Republican","Randy Brock",266
"Windsor","Baltimore","Baltimore","Auditor General","","Republican","Randy Brock",51
"Windsor","Barnard","Barnard","Auditor General","","Republican","Randy Brock",207
"Caledonia","Barnet","Barnet","Auditor General","","Republican","Randy Brock",401
"Washington","Barre City","Washington 3-1","Auditor General","","Republican","Randy Brock",874
"Washington","Barre City","Washington 3-2","Auditor General","","Republican","Randy Brock",615
"Washington","Barre City","Washington 3-3","Auditor General","","Republican","Randy Brock",127
"Washington","Barre Town","Barre Town","Auditor General","","Republican","Randy Brock",2146
"Orleans","Barton","Barton","Auditor General","","Republican","Randy Brock",620
"Lamoille","Belvidere","Belvidere","Auditor General","","Republican","Randy Brock",62
"Bennington","Bennington","Bennington 2-1","Auditor General","","Republican","Randy Brock",536
"Bennington","Bennington","Bennington 2-1 Nb","Auditor General","","Republican","Randy Brock",82
"Bennington","Bennington","Bennington 2-2","Auditor General","","Republican","Randy Brock",664
"Bennington","Bennington","Bennington 5","Auditor General","","Republican","Randy Brock",26
"Rutland","Benson","Benson","Auditor General","","Republican","Randy Brock",203
"Franklin","Berkshire","Berkshire","Auditor General","","Republican","Randy Brock",315
"Washington","Berlin","Berlin","Auditor General","","Republican","Randy Brock",615
"Windsor","Bethel","Bethel","Auditor General","","Republican","Randy Brock",420
"Essex","Bloomfield","Bloomfield","Auditor General","","Republican","Randy Brock",35
"Chittenden","Bolton","Bolton","Auditor General","","Republican","Randy Brock",223
"Orange","Bradford","Bradford","Auditor General","","Republican","Randy Brock",424
"Orange","Braintree","Braintree","Auditor General","","Republican","Randy Brock",274
"Rutland","Brandon","Brandon","Auditor General","","Republican","Randy Brock",899
"Windham","Brattleboro","Windham 3-1","Auditor General","","Republican","Randy Brock",475
"Windham","Brattleboro","Windham 3-2","Auditor General","","Republican","Randy Brock",287
"Windham","Brattleboro","Windham 3-3","Auditor General","","Republican","Randy Brock",246
"Windsor","Bridgewater","Bridgewater","Auditor General","","Republican","Randy Brock",172
"Addison","Bridport","Bridport","Auditor General","","Republican","Randy Brock",363
"Essex","Brighton","Brighton","Auditor General","","Republican","Randy Brock",250
"Addison","Bristol","Bristol","Auditor General","","Republican","Randy Brock",779
"Orange","Brookfield","Brookfield","Auditor General","","Republican","Randy Brock",304
"Windham","Brookline","Brookline","Auditor General","","Republican","Randy Brock",88
"Orleans","Brownington","Brownington","Auditor General","","Republican","Randy Brock",174
"Essex","Brunswick","Brunswick","Auditor General","","Republican","Randy Brock",28
"Caledonia","Burke","Burke","Auditor General","","Republican","Randy Brock",324
"Chittenden","Burlington","Chittenden 3-1","Auditor General","","Republican","Randy Brock",1397
"Chittenden","Burlington","Chittenden 3-2","Auditor General","","Republican","Randy Brock",676
"Chittenden","Burlington","Chittenden 3-3","Auditor General","","Republican","Randy Brock",538
"Chittenden","Burlington","Chittenden 3-4","Auditor General","","Republican","Randy Brock",383
"Chittenden","Burlington","Chittenden 3-5","Auditor General","","Republican","Randy Brock",1101
"Chittenden","Burlington","Chittenden 3-6","Auditor General","","Republican","Randy Brock",124
"Washington","Cabot","Cabot","Auditor General","","Republican","Randy Brock",253
"Washington","Calais","Calais","Auditor General","","Republican","Randy Brock",352
"Lamoille","Cambridge","Cambridge","Auditor General","","Republican","Randy Brock",670
"Essex","Canaan","Canaan","Auditor General","","Republican","Randy Brock",137
"Rutland","Castleton","Castleton","Auditor General","","Republican","Randy Brock",719
"Windsor","Cavendish","Cavendish","Auditor General","","Republican","Randy Brock",225
"Orleans","Charleston","Charleston","Auditor General","","Republican","Randy Brock",199
"Chittenden","Charlotte","Charlotte","Auditor General","","Republican","Randy Brock",876
"Orange","Chelsea","Chelsea","Auditor General","","Republican","Randy Brock",330
"Windsor","Chester","Chester","Auditor General","","Republican","Randy Brock",476
"Rutland","Chittenden","Chittenden","Auditor General","","Republican","Randy Brock",287
"Rutland","Clarendon","Clarendon","Auditor General","","Republican","Randy Brock",547
"Chittenden","Colchester","Chittenden 7-1","Auditor General","","Republican","Randy Brock",1366
"Chittenden","Colchester","Chittenden 7-2","Auditor General","","Republican","Randy Brock",1707
"Essex","Concord","Concord","Auditor General","","Republican","Randy Brock",277
"Orange","Corinth","Corinth","Auditor General","","Republican","Randy Brock",249
"Addison","Cornwall","Cornwall","Auditor General","","Republican","Randy Brock",278
"Orleans","Coventry","Coventry","Auditor General","","Republican","Randy Brock",187
"Orleans","Craftsbury","Craftsbury","Auditor General","","Republican","Randy Brock",224
"Rutland","Danby","Danby","Auditor General","","Republican","Randy Brock",292
"Caledonia","Danville","Danville","Auditor General","","Republican","Randy Brock",552
