"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55018","2008","Auditor","General","","Addison","","Thomas M. Salmon","Democratic/Republican","628"
"55019","2008","Auditor","General","","Albany","","Thomas M. Salmon","Democratic/Republican","388"
"55020","2008","Auditor","General","","Alburgh","","Thomas M. Salmon","Democratic/Republican","781"
"55021","2008","Auditor","General","","Andover","","Thomas M. Salmon","Democratic/Republican","234"
"55022","2008","Auditor","General","","Arlington","","Thomas M. Salmon","Democratic/Republican","1,067"
"55023","2008","Auditor","General","","Athens","","Thomas M. Salmon","Democratic/Republican","116"
"55024","2008","Auditor","General","","Bakersfield","","Thomas M. Salmon","Democratic/Republican","476"
"55025","2008","Auditor","General","","Baltimore","","Thomas M. Salmon","Democratic/Republican","96"
"55026","2008","Auditor","General","","Barnard","","Thomas M. Salmon","Democratic/Republican","425"
"55027","2008","Auditor","General","","Barnet","","Thomas M. Salmon","Democratic/Republican","786"
"55028","2008","Auditor","General","","Barre City","Washington 3-1","Thomas M. Salmon","Democratic/Republican","1,539"
"55029","2008","Auditor","General","","Barre City","Washington 3-2","Thomas M. Salmon","Democratic/Republican","1,243"
"55030","2008","Auditor","General","","Barre City","Washington 3-3","Thomas M. Salmon","Democratic/Republican","241"
"55031","2008","Auditor","General","","Barre Town","","Thomas M. Salmon","Democratic/Republican","3,805"
"55032","2008","Auditor","General","","Barton","","Thomas M. Salmon","Democratic/Republican","1,042"
"55033","2008","Auditor","General","","Belvidere","","Thomas M. Salmon","Democratic/Republican","126"
"55034","2008","Auditor","General","","Bennington","Bennington 2-1","Thomas M. Salmon","Democratic/Republican","2,367"
"55035","2008","Auditor","General","","Bennington","Bennington 2-2","Thomas M. Salmon","Democratic/Republican","2,401"
"55036","2008","Auditor","General","","Bennington","Bennington 5","Thomas M. Salmon","Democratic/Republican","44"
"55037","2008","Auditor","General","","Benson","","Thomas M. Salmon","Democratic/Republican","387"
"55038","2008","Auditor","General","","Berkshire","","Thomas M. Salmon","Democratic/Republican","526"
"55039","2008","Auditor","General","","Berlin","","Thomas M. Salmon","Democratic/Republican","1,121"
"55040","2008","Auditor","General","","Bethel","","Thomas M. Salmon","Democratic/Republican","752"
"55041","2008","Auditor","General","","Bloomfield","","Thomas M. Salmon","Democratic/Republican","81"
"55042","2008","Auditor","General","","Bolton","","Thomas M. Salmon","Democratic/Republican","450"
"55043","2008","Auditor","General","","Bradford","","Thomas M. Salmon","Democratic/Republican","1,020"
"55044","2008","Auditor","General","","Braintree","","Thomas M. Salmon","Democratic/Republican","493"
"55045","2008","Auditor","General","","Brandon","","Thomas M. Salmon","Democratic/Republican","1,601"
"55046","2008","Auditor","General","","Brattleboro","Windham 3-1","Thomas M. Salmon","Democratic/Republican","1,644"
"55047","2008","Auditor","General","","Brattleboro","Windham 3-2","Thomas M. Salmon","Democratic/Republican","1,207"
"55048","2008","Auditor","General","","Brattleboro","Windham 3-3","Thomas M. Salmon","Democratic/Republican","1,110"
"55049","2008","Auditor","General","","Bridgewater","","Thomas M. Salmon","Democratic/Republican","404"
"55050","2008","Auditor","General","","Bridport","","Thomas M. Salmon","Democratic/Republican","557"
"55051","2008","Auditor","General","","Brighton","","Thomas M. Salmon","Democratic/Republican","481"
"55052","2008","Auditor","General","","Bristol","","Thomas M. Salmon","Democratic/Republican","1,566"
"55053","2008","Auditor","General","","Brookfield","","Thomas M. Salmon","Democratic/Republican","564"
"55054","2008","Auditor","General","","Brookline","","Thomas M. Salmon","Democratic/Republican","206"
"55055","2008","Auditor","General","","Brownington","","Thomas M. Salmon","Democratic/Republican","322"
"55056","2008","Auditor","General","","Brunswick","","Thomas M. Salmon","Democratic/Republican","42"
"55057","2008","Auditor","General","","Burke","","Thomas M. Salmon","Democratic/Republican","677"
"55058","2008","Auditor","General","","Burlington","Chittenden 3-1","Thomas M. Salmon","Democratic/Republican","3,093"
"55059","2008","Auditor","General","","Burlington","Chittenden 3-2","Thomas M. Salmon","Democratic/Republican","1,582"
"55060","2008","Auditor","General","","Burlington","Chittenden 3-3","Thomas M. Salmon","Democratic/Republican","2,167"
"55061","2008","Auditor","General","","Burlington","Chittenden 3-4","Thomas M. Salmon","Democratic/Republican","2,000"
"55062","2008","Auditor","General","","Burlington","Chittenden 3-5","Thomas M. Salmon","Democratic/Republican","3,205"
"55063","2008","Auditor","General","","Burlington","Chittenden 3-6","Thomas M. Salmon","Democratic/Republican","425"
"55064","2008","Auditor","General","","Cabot","","Thomas M. Salmon","Democratic/Republican","566"
"55065","2008","Auditor","General","","Calais","","Thomas M. Salmon","Democratic/Republican","772"
"55066","2008","Auditor","General","","Cambridge","","Thomas M. Salmon","Democratic/Republican","1,352"
"55067","2008","Auditor","General","","Canaan","","Thomas M. Salmon","Democratic/Republican","360"
"55068","2008","Auditor","General","","Castleton","","Thomas M. Salmon","Democratic/Republican","1,478"
"55069","2008","Auditor","General","","Cavendish","","Thomas M. Salmon","Democratic/Republican","558"
"55070","2008","Auditor","General","","Charleston","","Thomas M. Salmon","Democratic/Republican","378"
"55071","2008","Auditor","General","","Charlotte","","Thomas M. Salmon","Democratic/Republican","1,768"
"55072","2008","Auditor","General","","Chelsea","","Thomas M. Salmon","Democratic/Republican","522"
"55073","2008","Auditor","General","","Chester","","Thomas M. Salmon","Democratic/Republican","1,351"
"55074","2008","Auditor","General","","Chittenden","","Thomas M. Salmon","Democratic/Republican","602"
"55075","2008","Auditor","General","","Clarendon","","Thomas M. Salmon","Democratic/Republican","1,068"
"55076","2008","Auditor","General","","Colchester","Chittenden 7-1","Thomas M. Salmon","Democratic/Republican","2,806"
"55077","2008","Auditor","General","","Colchester","Chittenden 7-2","Thomas M. Salmon","Democratic/Republican","3,314"
