"district","town","precinct","NA.1","NA","NA.3","NA.2","votes"
"","Addison","Addison","Democratic/Progressive","",286,"Doug Hoffer",
"","Orleans","Albany","Democratic/Progressive","",207,"Doug Hoffer",
"","Grand Isle","Alburgh","Democratic/Progressive","",402,"Doug Hoffer",
"","Windsor","Andover","Democratic/Progressive","",153,"Doug Hoffer",
"","Bennington","Arlington","Democratic/Progressive","",600,"Doug Hoffer",
"","Windham","Athens","Democratic/Progressive","",68,"Doug Hoffer",
"","Franklin","Bakersfield","Democratic/Progressive","",270,"Doug Hoffer",
"","Windsor","Baltimore","Democratic/Progressive","",52,"Doug Hoffer",
"","Windsor","Barnard","Democratic/Progressive","",273,"Doug Hoffer",
"","Caledonia","Barnet","Democratic/Progressive","",446,"Doug Hoffer",
"","Washington","Barre City","Democratic/Progressive","",1589,"Doug Hoffer",
"","Washington","Barre Town","Democratic/Progressive","",1677,"Doug Hoffer",
"","Orleans","Barton","Democratic/Progressive","",444,"Doug Hoffer",
"","Lamoille","Belvidere","Democratic/Progressive","",50,"Doug Hoffer",
"","Bennington","Bennington","Democratic/Progressive","",1238,"Doug Hoffer",
"","Bennington","Bennington","Democratic/Progressive","",1464,"Doug Hoffer",
"","Rutland","Benson","Democratic/Progressive","",192,"Doug Hoffer",
"","Franklin","Berkshire","Democratic/Progressive","",267,"Doug Hoffer",
"","Washington","Berlin","Democratic/Progressive","",661,"Doug Hoffer",
"","Windsor","Bethel","Democratic/Progressive","",517,"Doug Hoffer",
"","Essex","Bloomfield","Democratic/Progressive","",38,"Doug Hoffer",
"","Chittenden","Bolton","Democratic/Progressive","",353,"Doug Hoffer",
"","Orange","Bradford","Democratic/Progressive","",566,"Doug Hoffer",
"","Orange","Braintree","Democratic/Progressive","",282,"Doug Hoffer",
"","Rutland","Brandon","Democratic/Progressive","",847,"Doug Hoffer",
"","Windham","Brattleboro","Democratic/Progressive","",1320,"Doug Hoffer",
"","Windham","Brattleboro","Democratic/Progressive","",1291,"Doug Hoffer",
"","Windham","Brattleboro","Democratic/Progressive","",1297,"Doug Hoffer",
"","Windsor","Bridgewater","Democratic/Progressive","",238,"Doug Hoffer",
"","Addison","Bridport","Democratic/Progressive","",261,"Doug Hoffer",
"","Essex","Brighton","Democratic/Progressive","",197,"Doug Hoffer",
"","Addison","Bristol","Democratic/Progressive","",1012,"Doug Hoffer",
"","Orange","Brookfield","Democratic/Progressive","",363,"Doug Hoffer",
