election_value,title,year,election_type,district,party,office
67334,2014 Assistant Judge Democratic Primary Addison County,2014,Primary,Addison County,Democratic,Local Election
67335,2014 Assistant Judge Democratic Primary Orleans County,2014,Primary,Orleans County,Democratic,Local Election
67336,2014 Assistant Judge Democratic Primary Grand Isle County,2014,Primary,Grand Isle County,Democratic,Local Election
67337,2014 Assistant Judge Democratic Primary Windsor County,2014,Primary,Windsor County,Democratic,Local Election
67338,2014 Assistant Judge Democratic Primary Bennington County,2014,Primary,Bennington County,Democratic,Local Election
67339,2014 Assistant Judge Democratic Primary Windham County,2014,Primary,Windham County,Democratic,Local Election
67340,2014 Assistant Judge Democratic Primary Franklin County,2014,Primary,Franklin County,Democratic,Local Election
67341,2014 Assistant Judge Democratic Primary Caledonia County,2014,Primary,Caledonia County,Democratic,Local Election
67342,2014 Assistant Judge Democratic Primary Washington County,2014,Primary,Washington County,Democratic,Local Election
67343,2014 Assistant Judge Democratic Primary Lamoille County,2014,Primary,Lamoille County,Democratic,Local Election
67344,2014 Assistant Judge Democratic Primary Rutland County,2014,Primary,Rutland County,Democratic,Local Election
67345,2014 Assistant Judge Democratic Primary Essex County,2014,Primary,Essex County,Democratic,Local Election
67346,2014 Assistant Judge Democratic Primary Chittenden County,2014,Primary,Chittenden County,Democratic,Local Election
67347,2014 Assistant Judge Democratic Primary Orange County,2014,Primary,Orange County,Democratic,Local Election
67348,2014 Assistant Judge Liberty Union Primary Addison County,2014,Primary,Addison County,Liberty Union,Local Election
67349,2014 Assistant Judge Liberty Union Primary Orleans County,2014,Primary,Orleans County,Liberty Union,Local Election
67350,2014 Assistant Judge Liberty Union Primary Grand Isle County,2014,Primary,Grand Isle County,Liberty Union,Local Election
67351,2014 Assistant Judge Liberty Union Primary Windsor County,2014,Primary,Windsor County,Liberty Union,Local Election
67352,2014 Assistant Judge Liberty Union Primary Bennington County,2014,Primary,Bennington County,Liberty Union,Local Election
67353,2014 Assistant Judge Liberty Union Primary Windham County,2014,Primary,Windham County,Liberty Union,Local Election
67354,2014 Assistant Judge Liberty Union Primary Franklin County,2014,Primary,Franklin County,Liberty Union,Local Election
67355,2014 Assistant Judge Liberty Union Primary Caledonia County,2014,Primary,Caledonia County,Liberty Union,Local Election
67356,2014 Assistant Judge Liberty Union Primary Washington County,2014,Primary,Washington County,Liberty Union,Local Election
67357,2014 Assistant Judge Liberty Union Primary Lamoille County,2014,Primary,Lamoille County,Liberty Union,Local Election
67358,2014 Assistant Judge Liberty Union Primary Rutland County,2014,Primary,Rutland County,Liberty Union,Local Election
67359,2014 Assistant Judge Liberty Union Primary Essex County,2014,Primary,Essex County,Liberty Union,Local Election
67360,2014 Assistant Judge Liberty Union Primary Chittenden County,2014,Primary,Chittenden County,Liberty Union,Local Election
67361,2014 Assistant Judge Liberty Union Primary Orange County,2014,Primary,Orange County,Liberty Union,Local Election
67362,2014 Assistant Judge Progressive Primary Addison County,2014,Primary,Addison County,Progressive,Local Election
67363,2014 Assistant Judge Progressive Primary Orleans County,2014,Primary,Orleans County,Progressive,Local Election
67364,2014 Assistant Judge Progressive Primary Grand Isle County,2014,Primary,Grand Isle County,Progressive,Local Election
67365,2014 Assistant Judge Progressive Primary Windsor County,2014,Primary,Windsor County,Progressive,Local Election
67366,2014 Assistant Judge Progressive Primary Bennington County,2014,Primary,Bennington County,Progressive,Local Election
67367,2014 Assistant Judge Progressive Primary Windham County,2014,Primary,Windham County,Progressive,Local Election
67368,2014 Assistant Judge Progressive Primary Franklin County,2014,Primary,Franklin County,Progressive,Local Election
67369,2014 Assistant Judge Progressive Primary Caledonia County,2014,Primary,Caledonia County,Progressive,Local Election
67370,2014 Assistant Judge Progressive Primary Washington County,2014,Primary,Washington County,Progressive,Local Election
67371,2014 Assistant Judge Progressive Primary Lamoille County,2014,Primary,Lamoille County,Progressive,Local Election
67372,2014 Assistant Judge Progressive Primary Rutland County,2014,Primary,Rutland County,Progressive,Local Election
67373,2014 Assistant Judge Progressive Primary Essex County,2014,Primary,Essex County,Progressive,Local Election
67374,2014 Assistant Judge Progressive Primary Chittenden County,2014,Primary,Chittenden County,Progressive,Local Election
67375,2014 Assistant Judge Progressive Primary Orange County,2014,Primary,Orange County,Progressive,Local Election
67376,2014 Assistant Judge Republican Primary Addison County,2014,Primary,Addison County,Republican,Local Election
67377,2014 Assistant Judge Republican Primary Orleans County,2014,Primary,Orleans County,Republican,Local Election
67378,2014 Assistant Judge Republican Primary Grand Isle County,2014,Primary,Grand Isle County,Republican,Local Election
67379,2014 Assistant Judge Republican Primary Windsor County,2014,Primary,Windsor County,Republican,Local Election
67380,2014 Assistant Judge Republican Primary Bennington County,2014,Primary,Bennington County,Republican,Local Election
67381,2014 Assistant Judge Republican Primary Windham County,2014,Primary,Windham County,Republican,Local Election
67382,2014 Assistant Judge Republican Primary Franklin County,2014,Primary,Franklin County,Republican,Local Election
67383,2014 Assistant Judge Republican Primary Caledonia County,2014,Primary,Caledonia County,Republican,Local Election
67384,2014 Assistant Judge Republican Primary Washington County,2014,Primary,Washington County,Republican,Local Election
