election_value,title
67334,2014 Assistant Judge Democratic Primary Addison County
67335,2014 Assistant Judge Democratic Primary Orleans County
67336,2014 Assistant Judge Democratic Primary Grand Isle County
67337,2014 Assistant Judge Democratic Primary Windsor County
67338,2014 Assistant Judge Democratic Primary Bennington County
67339,2014 Assistant Judge Democratic Primary Windham County
67340,2014 Assistant Judge Democratic Primary Franklin County
67341,2014 Assistant Judge Democratic Primary Caledonia County
67342,2014 Assistant Judge Democratic Primary Washington County
67343,2014 Assistant Judge Democratic Primary Lamoille County
67344,2014 Assistant Judge Democratic Primary Rutland County
67345,2014 Assistant Judge Democratic Primary Essex County
67346,2014 Assistant Judge Democratic Primary Chittenden County
67347,2014 Assistant Judge Democratic Primary Orange County
67348,2014 Assistant Judge Liberty Union Primary Addison County
67349,2014 Assistant Judge Liberty Union Primary Orleans County
67350,2014 Assistant Judge Liberty Union Primary Grand Isle County
67351,2014 Assistant Judge Liberty Union Primary Windsor County
67352,2014 Assistant Judge Liberty Union Primary Bennington County
67353,2014 Assistant Judge Liberty Union Primary Windham County
67354,2014 Assistant Judge Liberty Union Primary Franklin County
67355,2014 Assistant Judge Liberty Union Primary Caledonia County
67356,2014 Assistant Judge Liberty Union Primary Washington County
67357,2014 Assistant Judge Liberty Union Primary Lamoille County
67358,2014 Assistant Judge Liberty Union Primary Rutland County
67359,2014 Assistant Judge Liberty Union Primary Essex County
67360,2014 Assistant Judge Liberty Union Primary Chittenden County
67361,2014 Assistant Judge Liberty Union Primary Orange County
67362,2014 Assistant Judge Progressive Primary Addison County
67363,2014 Assistant Judge Progressive Primary Orleans County
67364,2014 Assistant Judge Progressive Primary Grand Isle County
67365,2014 Assistant Judge Progressive Primary Windsor County
67366,2014 Assistant Judge Progressive Primary Bennington County
67367,2014 Assistant Judge Progressive Primary Windham County
67368,2014 Assistant Judge Progressive Primary Franklin County
67369,2014 Assistant Judge Progressive Primary Caledonia County
67370,2014 Assistant Judge Progressive Primary Washington County
67371,2014 Assistant Judge Progressive Primary Lamoille County
67372,2014 Assistant Judge Progressive Primary Rutland County
67373,2014 Assistant Judge Progressive Primary Essex County
67374,2014 Assistant Judge Progressive Primary Chittenden County
67375,2014 Assistant Judge Progressive Primary Orange County
67376,2014 Assistant Judge Republican Primary Addison County
67377,2014 Assistant Judge Republican Primary Orleans County
67378,2014 Assistant Judge Republican Primary Grand Isle County
67379,2014 Assistant Judge Republican Primary Windsor County
67380,2014 Assistant Judge Republican Primary Bennington County
67381,2014 Assistant Judge Republican Primary Windham County
67382,2014 Assistant Judge Republican Primary Franklin County
67383,2014 Assistant Judge Republican Primary Caledonia County
67384,2014 Assistant Judge Republican Primary Washington County
67385,2014 Assistant Judge Republican Primary Lamoille County
67386,2014 Assistant Judge Republican Primary Rutland County
67387,2014 Assistant Judge Republican Primary Essex County
67388,2014 Assistant Judge Republican Primary Chittenden County
67389,2014 Assistant Judge Republican Primary Orange County
67390,2014 Attorney General Democratic Primary
67391,2014 Attorney General Liberty Union Primary
67392,2014 Attorney General Progressive Primary
67394,2014 Auditor Democratic Primary
67395,2014 Auditor Liberty Union Primary
67396,2014 Auditor Progressive Primary
67397,2014 Auditor Republican Primary
67398,2014 Governor Democratic Primary
67399,2014 Governor Liberty Union Primary
67400,2014 Governor Progressive Primary
67401,2014 Governor Republican Primary
67402,2014 High Bailiff Democratic Primary Addison County
67403,2014 High Bailiff Democratic Primary Orleans County
67404,2014 High Bailiff Democratic Primary Grand Isle County
67405,2014 High Bailiff Democratic Primary Windsor County
67406,2014 High Bailiff Democratic Primary Bennington County
67407,2014 High Bailiff Democratic Primary Windham County
67408,2014 High Bailiff Democratic Primary Franklin County
67409,2014 High Bailiff Democratic Primary Caledonia County
67410,2014 High Bailiff Democratic Primary Washington County
67411,2014 High Bailiff Democratic Primary Lamoille County
67412,2014 High Bailiff Democratic Primary Rutland County
67413,2014 High Bailiff Democratic Primary Essex County
67414,2014 High Bailiff Democratic Primary Chittenden County
67415,2014 High Bailiff Democratic Primary Orange County
67416,2014 High Bailiff Liberty Union Primary Addison County
67417,2014 High Bailiff Liberty Union Primary Orleans County
67418,2014 High Bailiff Liberty Union Primary Grand Isle County
67419,2014 High Bailiff Liberty Union Primary Windsor County
67420,2014 High Bailiff Liberty Union Primary Bennington County
67421,2014 High Bailiff Liberty Union Primary Windham County
67422,2014 High Bailiff Liberty Union Primary Franklin County
67423,2014 High Bailiff Liberty Union Primary Caledonia County
67424,2014 High Bailiff Liberty Union Primary Washington County
67425,2014 High Bailiff Liberty Union Primary Lamoille County
67426,2014 High Bailiff Liberty Union Primary Rutland County
67427,2014 High Bailiff Liberty Union Primary Essex County
67428,2014 High Bailiff Liberty Union Primary Chittenden County
67429,2014 High Bailiff Liberty Union Primary Orange County
67430,2014 High Bailiff Progressive Primary Addison County
67431,2014 High Bailiff Progressive Primary Orleans County
67432,2014 High Bailiff Progressive Primary Grand Isle County
67433,2014 High Bailiff Progressive Primary Windsor County
67434,2014 High Bailiff Progressive Primary Bennington County
67435,2014 High Bailiff Progressive Primary Windham County
67436,2014 High Bailiff Progressive Primary Franklin County
67437,2014 High Bailiff Progressive Primary Caledonia County
67438,2014 High Bailiff Progressive Primary Washington County
67439,2014 High Bailiff Progressive Primary Lamoille County
67440,2014 High Bailiff Progressive Primary Rutland County
67441,2014 High Bailiff Progressive Primary Essex County
67442,2014 High Bailiff Progressive Primary Chittenden County
67443,2014 High Bailiff Progressive Primary Orange County
67444,2014 High Bailiff Republican Primary Addison County
67445,2014 High Bailiff Republican Primary Orleans County
67446,2014 High Bailiff Republican Primary Grand Isle County
67447,2014 High Bailiff Republican Primary Windsor County
67448,2014 High Bailiff Republican Primary Bennington County
67449,2014 High Bailiff Republican Primary Windham County
67450,2014 High Bailiff Republican Primary Franklin County
67451,2014 High Bailiff Republican Primary Caledonia County
67452,2014 High Bailiff Republican Primary Washington County
67453,2014 High Bailiff Republican Primary Lamoille County
67454,2014 High Bailiff Republican Primary Rutland County
67455,2014 High Bailiff Republican Primary Essex County
67456,2014 High Bailiff Republican Primary Chittenden County
67457,2014 High Bailiff Republican Primary Orange County
67459,2014 Lieutenant Governor Liberty Union Primary
67460,2014 Lieutenant Governor Progressive Primary
67461,2014 Lieutenant Governor Republican Primary
67462,2014 Probate Judge Democratic Primary Addison County
67463,2014 Probate Judge Democratic Primary Orleans County
67464,2014 Probate Judge Democratic Primary Grand Isle County
67465,2014 Probate Judge Democratic Primary Windsor County
67466,2014 Probate Judge Democratic Primary Bennington County
67467,2014 Probate Judge Democratic Primary Windham County
67468,2014 Probate Judge Democratic Primary Franklin County
67469,2014 Probate Judge Democratic Primary Caledonia County
67470,2014 Probate Judge Democratic Primary Washington County
67471,2014 Probate Judge Democratic Primary Lamoille County
67472,2014 Probate Judge Democratic Primary Rutland County
67473,2014 Probate Judge Democratic Primary Essex County
67474,2014 Probate Judge Democratic Primary Chittenden County
67475,2014 Probate Judge Democratic Primary Orange County
67476,2014 Probate Judge Liberty Union Primary Addison County
67477,2014 Probate Judge Liberty Union Primary Orleans County
67478,2014 Probate Judge Liberty Union Primary Grand Isle County
67479,2014 Probate Judge Liberty Union Primary Windsor County
67480,2014 Probate Judge Liberty Union Primary Bennington County
67481,2014 Probate Judge Liberty Union Primary Windham County
67482,2014 Probate Judge Liberty Union Primary Franklin County
67483,2014 Probate Judge Liberty Union Primary Caledonia County
67484,2014 Probate Judge Liberty Union Primary Washington County
67485,2014 Probate Judge Liberty Union Primary Lamoille County
67486,2014 Probate Judge Liberty Union Primary Rutland County
67487,2014 Probate Judge Liberty Union Primary Essex County
67488,2014 Probate Judge Liberty Union Primary Chittenden County
67489,2014 Probate Judge Liberty Union Primary Orange County
67490,2014 Probate Judge Progressive Primary Addison County
67491,2014 Probate Judge Progressive Primary Orleans County
67492,2014 Probate Judge Progressive Primary Grand Isle County
67493,2014 Probate Judge Progressive Primary Windsor County
67494,2014 Probate Judge Progressive Primary Bennington County
67495,2014 Probate Judge Progressive Primary Windham County
67496,2014 Probate Judge Progressive Primary Franklin County
67497,2014 Probate Judge Progressive Primary Caledonia County
67498,2014 Probate Judge Progressive Primary Washington County
67499,2014 Probate Judge Progressive Primary Lamoille County
67500,2014 Probate Judge Progressive Primary Rutland County
67501,2014 Probate Judge Progressive Primary Essex County
67502,2014 Probate Judge Progressive Primary Chittenden County
67503,2014 Probate Judge Progressive Primary Orange County
67504,2014 Probate Judge Republican Primary Addison County
67505,2014 Probate Judge Republican Primary Orleans County
67506,2014 Probate Judge Republican Primary Grand Isle County
67507,2014 Probate Judge Republican Primary Windsor County
67508,2014 Probate Judge Republican Primary Bennington County
67509,2014 Probate Judge Republican Primary Windham County
67510,2014 Probate Judge Republican Primary Franklin County
67511,2014 Probate Judge Republican Primary Caledonia County
67512,2014 Probate Judge Republican Primary Washington County
67513,2014 Probate Judge Republican Primary Lamoille County
67514,2014 Probate Judge Republican Primary Rutland County
67515,2014 Probate Judge Republican Primary Essex County
67516,2014 Probate Judge Republican Primary Chittenden County
67517,2014 Probate Judge Republican Primary Orange County
67518,2014 U.S. House Democratic Primary
67519,2014 U.S. House Liberty Union Primary
67520,2014 U.S. House Progressive Primary
67521,2014 U.S. House Republican Primary
67522,2014 Secretary of State Democratic Primary
67523,2014 Secretary of State Liberty Union Primary
67524,2014 Secretary of State Progressive Primary
67525,2014 Secretary of State Republican Primary
67526,2014 Sheriff Democratic Primary Addison County
67527,2014 Sheriff Democratic Primary Orleans County
67528,2014 Sheriff Democratic Primary Grand Isle County
67529,2014 Sheriff Democratic Primary Windsor County
67530,2014 Sheriff Democratic Primary Bennington County
67531,2014 Sheriff Democratic Primary Windham County
67532,2014 Sheriff Democratic Primary Franklin County
67533,2014 Sheriff Democratic Primary Caledonia County
67534,2014 Sheriff Democratic Primary Washington County
67535,2014 Sheriff Democratic Primary Lamoille County
67536,2014 Sheriff Democratic Primary Rutland County
67537,2014 Sheriff Democratic Primary Essex County
67538,2014 Sheriff Democratic Primary Chittenden County
67539,2014 Sheriff Democratic Primary Orange County
67540,2014 Sheriff Liberty Union Primary Addison County
67541,2014 Sheriff Liberty Union Primary Orleans County
67542,2014 Sheriff Liberty Union Primary Grand Isle County
67543,2014 Sheriff Liberty Union Primary Windsor County
67544,2014 Sheriff Liberty Union Primary Bennington County
67545,2014 Sheriff Liberty Union Primary Windham County
67546,2014 Sheriff Liberty Union Primary Franklin County
67547,2014 Sheriff Liberty Union Primary Caledonia County
67548,2014 Sheriff Liberty Union Primary Washington County
67549,2014 Sheriff Liberty Union Primary Lamoille County
67550,2014 Sheriff Liberty Union Primary Rutland County
67551,2014 Sheriff Liberty Union Primary Essex County
67552,2014 Sheriff Liberty Union Primary Chittenden County
67553,2014 Sheriff Liberty Union Primary Orange County
67554,2014 Sheriff Progressive Primary Addison County
67555,2014 Sheriff Progressive Primary Orleans County
67556,2014 Sheriff Progressive Primary Grand Isle County
67557,2014 Sheriff Progressive Primary Windsor County
67558,2014 Sheriff Progressive Primary Bennington County
67559,2014 Sheriff Progressive Primary Windham County
67560,2014 Sheriff Progressive Primary Franklin County
67561,2014 Sheriff Progressive Primary Caledonia County
67562,2014 Sheriff Progressive Primary Washington County
67563,2014 Sheriff Progressive Primary Lamoille County
67564,2014 Sheriff Progressive Primary Rutland County
67565,2014 Sheriff Progressive Primary Essex County
67566,2014 Sheriff Progressive Primary Chittenden County
67567,2014 Sheriff Progressive Primary Orange County
67568,2014 Sheriff Republican Primary Addison County
67569,2014 Sheriff Republican Primary Orleans County
67570,2014 Sheriff Republican Primary Grand Isle County
67571,2014 Sheriff Republican Primary Windsor County
67572,2014 Sheriff Republican Primary Bennington County
67573,2014 Sheriff Republican Primary Windham County
67574,2014 Sheriff Republican Primary Franklin County
67575,2014 Sheriff Republican Primary Caledonia County
67576,2014 Sheriff Republican Primary Washington County
67577,2014 Sheriff Republican Primary Lamoille County
67578,2014 Sheriff Republican Primary Rutland County
67579,2014 Sheriff Republican Primary Essex County
67580,2014 Sheriff Republican Primary Chittenden County
67581,2014 Sheriff Republican Primary Orange County
67582,2014 State Representative Democratic Primary Addison 3 District
67583,2014 State Representative Democratic Primary Orleans-Caledonia District
67584,2014 State Representative Democratic Primary Grand Isle-Chittenden District
67585,2014 State Representative Democratic Primary Windsor 3-1 District
67586,2014 State Representative Democratic Primary Bennington 4 District
67587,2014 State Representative Democratic Primary Windham 3 District
67588,2014 State Representative Democratic Primary Franklin 6 District
67589,2014 State Representative Democratic Primary Windsor 4-1 District
67590,2014 State Representative Democratic Primary Caledonia 1 District
67591,2014 State Representative Democratic Primary Washington 3 District
67592,2014 State Representative Democratic Primary Washington 2 District
67593,2014 State Representative Democratic Primary Lamoille 2 District
67594,2014 State Representative Democratic Primary Bennington 2-1 District
67595,2014 State Representative Democratic Primary Bennington 2-2 District
67596,2014 State Representative Democratic Primary Addison-Rutland District
67597,2014 State Representative Democratic Primary Franklin 5 District
67598,2014 State Representative Democratic Primary Washington 1 District
67599,2014 State Representative Democratic Primary Windsor-Rutland District
67600,2014 State Representative Democratic Primary Essex-Caledonia-Orleans District
67601,2014 State Representative Democratic Primary Washington-Chittenden District
67602,2014 State Representative Democratic Primary Orange 2 District
67603,2014 State Representative Democratic Primary Orange-Washington-Addison District
67604,2014 State Representative Democratic Primary Rutland 6 District
67605,2014 State Representative Democratic Primary Windham 2-1 District
67606,2014 State Representative Democratic Primary Windham 2-2 District
67607,2014 State Representative Democratic Primary Windham 2-3 District
67608,2014 State Representative Democratic Primary Rutland-Windsor 1 District
67609,2014 State Representative Democratic Primary Addison 5 District
67610,2014 State Representative Democratic Primary Addison 4 District
67611,2014 State Representative Democratic Primary Orleans 1 District
67612,2014 State Representative Democratic Primary Essex-Caledonia District
67613,2014 State Representative Democratic Primary Caledonia 4 District
67614,2014 State Representative Democratic Primary Chittenden 6-1 District
67615,2014 State Representative Democratic Primary Chittenden 6-2 District
67616,2014 State Representative Democratic Primary Chittenden 6-3 District
67617,2014 State Representative Democratic Primary Chittenden 6-4 District
67618,2014 State Representative Democratic Primary Chittenden 6-5 District
67619,2014 State Representative Democratic Primary Chittenden 6-6 District
67620,2014 State Representative Democratic Primary Chittenden 6-7 District
67621,2014 State Representative Democratic Primary Caledonia-Washington District
67622,2014 State Representative Democratic Primary Washington 6 District
67623,2014 State Representative Democratic Primary Lamoille 3 District
67624,2014 State Representative Democratic Primary Rutland 3 District
67625,2014 State Representative Democratic Primary Windsor 2 District
67626,2014 State Representative Democratic Primary Chittenden 4-1 District
67627,2014 State Representative Democratic Primary Orange 1 District
67628,2014 State Representative Democratic Primary Rutland 2 District
67629,2014 State Representative Democratic Primary Chittenden 9-1 District
67630,2014 State Representative Democratic Primary Chittenden 9-2 District
67631,2014 State Representative Democratic Primary Addison 2 District
67632,2014 State Representative Democratic Primary Orleans 2 District
67633,2014 State Representative Democratic Primary Bennington-Rutland District
67634,2014 State Representative Democratic Primary Windham-Bennington District
67635,2014 State Representative Democratic Primary Windham 4 District
67636,2014 State Representative Democratic Primary Washington 7 District
67637,2014 State Representative Democratic Primary Washington 5 District
67638,2014 State Representative Democratic Primary Orleans-Lamoille District
67639,2014 State Representative Democratic Primary Lamoille-Washington District
67640,2014 State Representative Democratic Primary Franklin 7 District
67641,2014 State Representative Democratic Primary Chittenden 8-1 District
67642,2014 State Representative Democratic Primary Chittenden 8-2 District
67643,2014 State Representative Democratic Primary Chittenden 8-3 District
67644,2014 State Representative Democratic Primary Franklin 2 District
67645,2014 State Representative Democratic Primary Franklin 1 District
67646,2014 State Representative Democratic Primary Orange-Caledonia District
67647,2014 State Representative Democratic Primary Windham 1 District
67648,2014 State Representative Democratic Primary Windham 6 District
67649,2014 State Representative Democratic Primary Caledonia 2 District
67650,2014 State Representative Democratic Primary Windsor 4-2 District
67651,2014 State Representative Democratic Primary Windsor 1 District
67652,2014 State Representative Democratic Primary Chittenden 4-2 District
67653,2014 State Representative Democratic Primary Rutland 1 District
